state,county,plant_count,generator_count,operable_nameplate_capacity_mw,operable_summer_capacity_mw,operable_winter_capacity_mw,dominant_primary_fuel_code
CO,Rio Blanco,2,2,6.3,6,6,SUN
CO,Rio Grande,1,1,1.6,1.6,1.6,SUN
CO,Routt,1,2,465.4,441,441,BIT
CO,Saguache,1,1,2.7,2.7,2.7,SUN
CO,San Miguel,1,1,3.6,2.8,2.8,WAT
CO,Sedgwick,1,4,2.8,2.2,2.2,DFO
CO,Summit,2,3,27.8,27.8,27.8,WAT
CO,Weld,57,64,3808.3,3300.9,3512.9,SUN
CT,Fairfield,20,50,1456.9,1362.27,1444.95,NG
CT,Hartford,45,51,268,255.7,271.8,SUN
CT,Litchfield,18,30,151.2,138.4,152.6,SUN
CT,Middlesex,13,17,1730.3,1588.6,1617.7,SUN
CT,New Haven,31,50,3169.8,2787.15,3084.19,NG
CT,New London,46,74,3040,2870.3,2898.7,SUN
CT,Tolland,11,13,41.5,39.9,39.2,SUN
CT,Windham,17,18,970.2,951.6,1021.9,SUN
DC,District of Columbia,22,22,66.2,61.85,60.55,SUN
DE,Kent,15,18,650.8,582.6,608.6,SUN
DE,New Castle,18,40,2312.8,2273.6,2295.4,NG
DE,Sussex,10,13,485.1,446.8,444.5,SUN
FL,,4,0,0,0,0,
FL,Alachua,13,18,956.9,846.7,880.7,SUN
FL,Baker,5,4,298,298,298,SUN
FL,Bay,5,8,960.7,991.2,985.2,SUN
FL,Brevard,12,25,3555.6,3272.4,3489,SUN
FL,Broward,7,20,4093.9,3772.6,3822.7,NG
FL,Calhoun,9,4,298,298,298,SUN
FL,Charlotte,5,5,162,161.8,161.8,SUN
FL,Citrus,2,9,3523.9,3113.9,3370.9,SUN
FL,Clay,3,3,223.5,223.5,223.5,SUN
FL,Collier,4,6,78.5,78.5,78.5,SUN
FL,Columbia,5,5,328.8,328.8,328.8,SUN
FL,DeSoto,9,7,401.5,401.5,401.5,SUN
FL,Desoto,1,1,74.5,74.5,74.5,SUN
FL,Duval,20,39,3054,2881.2,3026.9,SUN
FL,Escambia,10,32,2657.2,2396.9,2408.9,SUN
FL,Gadsden,3,5,192.5,192.5,192.5,SUN
