station_id,state,state_name,station_name,place_name,latitude,longitude,coordinate_source,geometry_precision,monitoring_year_start,monitoring_year_end,years_with_data_count,approved_sample_count,approved_dose_reading_count,dose_equivalent_rate_avg_nsvh,dose_equivalent_rate_p95_nsvh,dose_equivalent_rate_max_nsvh,gamma_count_rate_total_avg_cpm,background_radiation_band,dominant_radiation_profile,source_dataset,location_name,total_sample_count,first_sample_at_utc,last_sample_at_utc,dose_equivalent_rate_min_nsvh,dose_equivalent_rate_median_nsvh,archive_zip_file,archive_zip_url,r02_avg_cpm,r03_avg_cpm,r04_avg_cpm,r05_avg_cpm,r06_avg_cpm,r07_avg_cpm,r08_avg_cpm,r09_avg_cpm
radnet-nd-bismarck,ND,North Dakota,Bismarck,Bismarck,46.814583,-100.770089,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,138465,31098,60.73,78,259,4601.37,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,ND: BISMARCK,138465,2008-10-23T18:05:00+00:00,2025-12-31T23:33:00+00:00,0,58,data\raw\radiation\epa_radnet\zips\nd_bismarck_2025-2008.zip,https://www.epa.gov/system/files/other-files/2026-02/nd_bismarck_2025-2008.zip,2199.78,1342.76,385.88,222.7,127.74,166.17,104.42,52.03
radnet-ne-kearney,NE,Nebraska,Kearney,Kearney,40.701745,-99.082312,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,94066,49383,92.4,140,463,5083.63,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,NE: KEARNEY,94066,2009-06-10T17:09:00+00:00,2025-12-31T23:38:00+00:00,59,84,data\raw\radiation\epa_radnet\zips\ne_kearney_2025-2009.zip,https://www.epa.gov/system/files/other-files/2026-02/ne_kearney_2025-2009.zip,2438.17,1491.87,432.22,237.78,145.17,188.17,107.86,42.38
radnet-ne-lincoln,NE,Nebraska,Lincoln,Lincoln,40.810284,-96.674856,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,131338,23782,56.78,66,223,4548.98,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,NE: LINCOLN,131338,2008-05-21T17:41:00+00:00,2025-12-31T23:46:00+00:00,0,56,data\raw\radiation\epa_radnet\zips\ne_lincoln_2025-2008.zip,https://www.epa.gov/system/files/other-files/2026-02/ne_lincoln_2025-2008.zip,2238.42,1297.85,374.97,214,131.31,166.26,95.91,30.55
radnet-ne-omaha,NE,Nebraska,Omaha,Omaha,41.262705,-96.053475,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,128289,74269,59.22,68,261,4504.16,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,NE: OMAHA,128289,2008-05-20T18:03:00+00:00,2025-12-31T23:05:00+00:00,44,58,data\raw\radiation\epa_radnet\zips\ne_omaha_2025-2008.zip,https://www.epa.gov/system/files/other-files/2026-02/ne_omaha_2025-2008.zip,2271.03,1250.42,357.32,199.82,123.73,157.99,98.07,45.86
radnet-nh-concord,NH,New Hampshire,Concord,Concord,43.232493,-71.561252,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,117678,23,0,0,0,5996.01,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,NH: CONCORD,117678,2008-07-02T19:04:00+00:00,2025-12-31T23:11:00+00:00,0,0,data\raw\radiation\epa_radnet\zips\nh_concord_2025-2008.zip,https://www.epa.gov/system/files/other-files/2026-02/nh_concord_2025-2008.zip,3000.95,1715.86,497.52,259.94,170.49,203.04,110.51,37.81
radnet-nh-portsmouth,NH,New Hampshire,Portsmouth,Portsmouth,43.060594,-70.780349,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2018,2025,8,52385,31744,69.65,91,135,5241.78,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,NH: PORTSMOUTH,52385,2018-09-12T16:47:00+00:00,2025-12-31T23:31:00+00:00,42,66,data\raw\radiation\epa_radnet\zips\nh_portsmouth_2025-2018.zip,https://www.epa.gov/system/files/other-files/2026-02/nh_portsmouth_2025-2018.zip,2693.29,1471.65,412.08,215.32,139.9,165.06,103.59,40.88
radnet-nm-albuquerque,NM,New Mexico,Albuquerque,Albuquerque,35.10478,-106.646809,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2010,2025,16,113136,42136,88.77,95,187,5505.34,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,NM: ALBUQUERQUE,113136,2010-05-07T15:29:00+00:00,2025-12-31T23:20:00+00:00,76,88,data\raw\radiation\epa_radnet\zips\nm_albuquerque_2025-2010.zip,https://www.epa.gov/system/files/other-files/2026-02/nm_albuquerque_2025-2010.zip,2704.54,1579.7,467.6,246.28,154.45,194.7,107.68,50.54
radnet-nm-carlsbad,NM,New Mexico,Carlsbad,Carlsbad,32.40079,-104.241012,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2011,2025,14,102999,42094,64.69,107,259,3727.5,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,NM: CARLSBAD,102999,2011-03-24T22:17:00+00:00,2025-12-31T23:36:00+00:00,0,57,data\raw\radiation\epa_radnet\zips\nm_carlsbad_2025-2011.zip,https://www.epa.gov/system/files/other-files/2026-02/nm_carlsbad_2025-2011.zip,1768.4,1120.61,323.58,172.73,96.07,121.45,81.83,42.84
radnet-nm-navajo_lake,NM,New Mexico,Navajo Dam,Navajo Dam,36.872922,-107.623216,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2010,2025,16,101588,14507,128.91,140,211,7384.98,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,NM: NAVAJO LAKE,101588,2010-05-05T17:37:00+00:00,2025-12-31T23:50:00+00:00,109,128,data\raw\radiation\epa_radnet\zips\nm_navajo_lake_2025-2010.zip,https://www.epa.gov/system/files/other-files/2026-02/nm_navajo_lake_2025-2010.zip,3585.47,2167.14,636.35,334.27,207.81,253.04,141.51,59.39
radnet-nv-las_vegas,NV,Nevada,Las Vegas,Las Vegas,36.233499,-115.264037,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2006,2025,20,148413,,,,,3670.68,Dose unavailable,Gamma count-only monitor,EPA RadNet near-real-time air monitor archives,NV: LAS VEGAS,148413,2006-07-11T17:20:00+00:00,2025-12-31T23:28:00+00:00,,,data\raw\radiation\epa_radnet\zips\nv_las_vegas_2025-2006.zip,https://www.epa.gov/system/files/other-files/2026-02/nv_las_vegas_2025-2006.zip,1716.89,980.34,284.67,156.51,98.8,158.27,207.05,68.18
