field_name,form_eia-860_schedule,form_eia-860_line_number,description,notes,utility,plant,generator___operable,generator___proposed,generator___retired_and_canceled,wind___operable,wind___retired_and_canceled,solar___operable,solar___retired_and_canceled,energy_storage___operable,energy_storage___proposed,energy_storage___retired_and_canceled,multifuel___operable,multifuel___proposed,multifuel___retired_and_canceled,ownership,enviroassoc___boiler_generator,enviroassoc___boiler_cooling,enviroassoc___boiler_particulate_matter,enviroassoc___boiler_so2,enviroassoc___boiler_nox,enviroassoc___boiler_mercury,enviroassoc___boiler_stack_flue,enviroassoc___emissions_control_equipment,enviroequip___emission_standards_&_strategies,enviroequip___boiler_info_&_design_parameters,enviroequip___cooling,enviroequip___fgp,enviroequip___fgd,enviroequip___stackflue
Mercury Control Proposed Strategy 3,6B,14,Proposed strategy to comply with the most stringent mercury regulation,See Reference Table 16,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Boiler Status,6C,1a,Boiler status,See Reference Table 17,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,
Heat Recovery Steam Generator,6C,1b,Indicates if the boiler is a heat recovery steam generator,Yes / No,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Inservice Month,6C,2,The actual or projected in-service month of this boiler,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Inservice Year,6C,2,The actual or projected in-service year of this boiler,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Retirement Month,6C,3,The actual or projected retirement month of this boiler,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Retirement Year,6C,3,The actual or projected retirement year of this boiler,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Firing Type 1,6C,4,Indicates the type of firing used by this boiler,See Reference Table 18,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Firing Type 2,6C,4,Indicates the type of firing used by this boiler,See Reference Table 18,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Firing Type 3,6C,4,Indicates the type of firing used by this boiler,See Reference Table 18,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Max Steam Flow (Thousand Pounds per Hour),6C,5,Maximum continuous steam flow at 100 percent load (thousand pounds per hour),,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Firing Rate Using Coal (0.1 Tons per Hour),6C,6,Design firing rate at maximum continuous steam flow for coal (nearest 0.1 ton per hour),,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Firing Rate Using Petroleum (0.1 Barrels per Hour),6C,7,Design firing rate at maximum continuous steam flow for pet coke (nearest 0.1 barrels per hour),,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Firing Rate Using Gas (0.1 MCF per Hour),6C,8,Design firing rate at maximum continuous steam flow for gas (nearest 0.1 cubic feet per hour),,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Firing Rate Using Other Fuels,6C,9,"Design firing rate at maximum continuous steam flow for energy sources other than coal, petroleum, or natural gas",,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Waste Heat Input (Million BTU per Hour),6C,10,Design waste-heat input rate at maximum continuous steam flow where a waste-heat boiler is a boiler that receives all or a substantial portion of its energy input from the noncumbustible exhaust gases of a separate fuel-burning process (million Btu per hour),,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Primary Fuel 1,6C,11,Primary fuels used by this boiler in order of predominance,See Reference Table 28,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Primary Fuel 2,6C,11,Primary fuels used by this boiler in order of predominance,See Reference Table 28,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Primary Fuel 3,6C,11,Primary fuels used by this boiler in order of predominance,See Reference Table 28,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Primary Fuel 4,6C,11,Primary fuels used by this boiler in order of predominance,See Reference Table 28,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Turndown Ratio,6C,12,The turndown ratio for the boiler,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Efficiency 100% Load,6C,13,Boiler efficiency when burning at 100 percent load (nearest 0.1 percent),,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Efficiency 50% Load,6C,14,Boiler efficiency when burning at 50 percent load (nearest 0.1 percent),,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Air Flow 100% Load (Cubic Feet per Minute),6C,15,"Total air flow including excess air at 100 percent load, reported at standard temperature and pressure (i.e. 68 F and one atmosphere pressure)",,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Wet Dry Bottom,6C,16,"Wet or Dry Bottom where Wet Bottom is defined as slag tanks that are installed at furnace throat to contain and remove molten ash from the furnace, and Dry Bottom is defined as having no slag tanks at furnace throat area, throat area is clear, and bottom ash drops through throat to bottom ash water hoppers.",W = Wet D = Dry,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Fly Ash Reinjection,6C,17,Indicates whether the boiler is capable of re-injecting fly ash,Yes / No,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Cooling Status,6D,2,Cooling system status,See Reference Table 19,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Inservice Month,6D,3,The actual or projected in-service month of this cooling system,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Inservice Year,6D,3,The actual or projected in-service month of this cooling system,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Cooling Type 1,6D,4a,Type of cooling system,See Reference Table 20,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Cooling Type 2,6D,4a,Type of cooling system,See Reference Table 20,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Cooling Type 3,6D,4a,Type of cooling system,See Reference Table 20,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Cooling Type 4,6D,4a,Type of cooling system,See Reference Table 20,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Percent Dry Cooling,6D,4b,Percent of cooling load served by dry cooling components,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Cooling Water Source,6D,5,"Name of river, lake, or water source that provides cooling water",,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Cooling Water Discharge,6D,6,"Name of river, lake, or water source that cooling water is discharged into.","When the discharge body of water is the same as the water source body of water, this field is left blank",,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Water Source Code,6D,7,Type of cooling water source,See Reference Table 21,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Water Type Code,6D,8,Type of cooling water,See Reference Table 22,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Intake Rate at 100% (Gallons per Minute),6D,9,Design cooling water flow rate at 100 percent load at in-take (gallons per minute),,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Chlorine Inservice Month,6D,10,Actual or projected in-service month for chlorine discharge control structures and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Chlorine Inservice Year,6D,10,Actual or projected in-service year for chlorine discharge control structures and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Pond Inservice Month,6D,11,Cooling ponds actual or projected in-service month,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Pond Inservice Year,6D,11,Cooling ponds actual or projected in-service year,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Pond Surface Area (Acres),6D,12,Total surface area of cooling pond (in acres),,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Pond Volume (Acre Feet),6D,13,Total volume of water in cooling pond (in acre-feet),,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Tower Inservice Month,6D,14,Cooling towers actual or projected in-service month,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Tower Inservice Year,6D,14,Cooling towers actual or projected in-service year,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Tower Type 1,6D,15,Types of cooling towers at this plant,See Reference Table 23,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Tower Type 2,6D,15,Types of cooling towers at this plant,See Reference Table 23,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Tower Type 3,6D,15,Types of cooling towers at this plant,See Reference Table 23,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Tower Type 4,6D,15,Types of cooling towers at this plant,See Reference Table 23,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Tower Water Rate (Gallons per Minute),6D,16,Maximum design rate of water flow at 100 percent load for the cooling towers,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Power Requirement (MW),6D,17,Maximum power requirement for cooling towers at 100 percent load,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
