field_name,form_eia-860_schedule,form_eia-860_line_number,description,notes,utility,plant,generator___operable,generator___proposed,generator___retired_and_canceled,wind___operable,wind___retired_and_canceled,solar___operable,solar___retired_and_canceled,energy_storage___operable,energy_storage___proposed,energy_storage___retired_and_canceled,multifuel___operable,multifuel___proposed,multifuel___retired_and_canceled,ownership,enviroassoc___boiler_generator,enviroassoc___boiler_cooling,enviroassoc___boiler_particulate_matter,enviroassoc___boiler_so2,enviroassoc___boiler_nox,enviroassoc___boiler_mercury,enviroassoc___boiler_stack_flue,enviroassoc___emissions_control_equipment,enviroequip___emission_standards_&_strategies,enviroequip___boiler_info_&_design_parameters,enviroequip___cooling,enviroequip___fgp,enviroequip___fgd,enviroequip___stackflue
Utility ID,,,EIA-assigned identification number for the company that is responsible for the day-to-day operations of the generator,,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Utility Name,1,3,Legal name of the company that is responsible for the day-to-day operations of the generator,,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Street Address,1,3,Street address of the operator/owner,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City,1,3,Name of the city in which operator/owner is located,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1,3,State of the operator/owner,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zip,1,3,Zip code of the operator/owner,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner?,1,4,Is the reporting entity an owner of power plants reported on Schedule 2 of the form?,Yes / No,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator?,1,4,Is the reporting entity an operator of power plants reported on Schedule 2 of the form?,Yes / No,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Manager?,1,4,Is the reporting entity an asset manager of power plants reported on Schedule 2 of the form?,Yes / No,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Reltionships with Plants Reported on Form?,1,4,Does the reporting entity have any other relationship to the power plants reported on Schedule 2 of the form?,Yes / No,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entity Type,1,5,Entity type of principle owner,C = Cooperative I = Investor-Owned Utility Q = Independent Power Producer M = Municipally-Owned Utility P = Political Subdivision F = Federally-Owned Utility S = State-Owned Utility IND = Industrial COM = Commercial,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant Code,2,1,EIA-assigned plant code,,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Plant Name,2,1,Plant name,,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Street Address,2,2,Plant street address,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City,2,2,Plant city,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,2,2,Plant state,,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,,,,,,,,x,x,x,x,x,x
Zip,2,2,Plant zip code,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,2,2,Plant County,,,x,x,x,x,x,x,x,x,x,,x,x,x,x,,,,,,,,,,,,,,,
Latitude,2,3,The latitude of a plant's coordinates,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,2,3,The longitude of a plant's coordinates,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NERC Region,2,4,NERC region in which the plant is located,See Reference Table 30,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balancing Authority Code,2,5,The plant's balancing authority,5 character code,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balancing Authority Name,2,5,The plant's balancing authority,"A balancing authority manages supply, demand, and interchanges within an electrically defined area.",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name of Water Source,2,6,Name of water source associater with the plant,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Purpose (NAICS Code),2,8,North American Industry Classification System (NAICS) code that best describes the primary purpose of the reporting plant,See Reference Table 29,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regulatory Status,,,Indicates whether the plant is regulated or non-regulated,RE = Regulated NR = Non-regulated,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector,,,"Plant-level sector name, designated by the primary purpose, regulatory status and plant-level combined heat and power status",Commercial; Electric Utility; Industrial; Non-Combined Heat and Power Independent Power Producer (IPP); Combined Heat and Power (IPP CHP),,x,x,x,x,x,x,x,x,x,,x,x,x,x,,,,,,,,,,,,,,,
Sector Name,,,"Plant-level sector number, designated by the primary purpose, regulatory status and plant-level combined heat and power status","1 = Electric Utility 2 = Independent Power Producer, Non-Combined Heat and Power 3 = Independent Power Producer, Combined Heat and Power 4 = Commercial, Non-Combined Heat and Power 5 = Commercial, Combined Heat and Power 6 = Industrial, Non-Combined Heat and Power 7 = Industrial, Combined Heat and Power",,x,x,x,x,x,x,x,x,x,,x,x,x,x,,,,,,,,,,,,,,,
FERC Cogeneration Status,2,9a,Indicates of whether the plant has FERC qualifying facility cogenerator status,Yes / No,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERC Cogeneration Docket Number,2,9b,The docket number relating to the FERC qualifying facility cogenerator status,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERC Small Power Producer Status,2,10a,Indicates of whether the plant has FERC qualifying facility small power producer status,Yes / No,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERC Small Power Producer Docket Number,2,10b,The docket number relating to the FERC qualifying facility small power producer status,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERC Exempt Wholesale Generator Status,2,11a,Indicates of whether the plant has FERC qualifying facility exempt wholesale generator status,Yes / No,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERC Exempt Wholesale Generator Docket Number,2,11b,The docket number relating to the FERC qualifying facility exempt wholesale generator status,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ash Impoundment?,2,12a,"Is there an ash impoundment (e.g. pond, reservoir) at the plant?",Yes / No,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ash Impoundment Lined?,2,12b,"If there is an ash impoundment at the plant, is the impoundment lined?",Yes / No,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ash Impoundment Status,2,12c,"If there is an ash impoundment at the plant, the ash impoundment status as of December 31 of the reporting year",See Reference Table 1,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transmission or Distribution System Owner,2,13,Name of the owner of the transmission or distribution system to which the plant is interconnected,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transmission or Distribution System Owner ID,2,13,EIA-assigned code for owner of transmission/distribution system to which the plant is interconnected,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transmission or Distribution System Owner State,2,13,State location for owner of transmission/distribution system to which the plant is interconnected,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid Voltage (kV),2,14,Plant's grid voltage at point of interconnection to transmission or distibution facilities,"If the plant is interconnected to more than three transmission / distriubtion facilites, the three highest grid voltages are reported",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid Voltage 2 (kV),2,14,Plant's grid voltage at point of interconnection to transmission or distibution facilities,"If the plant is interconnected to more than three transmission / distriubtion facilites, the three highest grid voltages are reported",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid Voltage 3 (kV),2,14,Plant's grid voltage at point of interconnection to transmission or distibution facilities,"If the plant is interconnected to more than three transmission / distriubtion facilites, the three highest grid voltages are reported",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Storage?,2,15,Indicates if the facility have energy storage capabilities,Yes / No,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Gas LDC Name,2,16a,"Names of Local Distribution Company (LDC), connected to natural gas burning power plants",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Gas Pipeline Name 1,2,16b,The name of the owner or operator of natural gas pipeline that connects directly to this facility or that connects to a lateral pipeline owned by this facility,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Gas Pipeline Name 2,2,16b,The name of the owner or operator of natural gas pipeline that connects directly to this facility or that connects to a lateral pipeline owned by this facility,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Gas Pipeline Name 3,2,16b,The name of the owner or operator of natural gas pipeline that connects directly to this facility or that connects to a lateral pipeline owned by this facility,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline Notes,2,16b,Additional owner or operator of natural gas pipeline,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Gas Storage,2,16c,Indicates if the facility have on-site storage of natural gas,Yes / No,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Natural Gas Storage,2,16d,Indicates if the facility have the capability to store the natural gas in the form of liquefied natural gas,Yes / No,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generator ID,3A,1,Generator identification number,,,,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,,,,,,,,,,,
Technology,,,High level description of the technology used by the generator to produce electricity,,,,x,x,x,x,x,x,x,x,,x,x,x,x,,,,,,,,,,,,,,,
Prime Mover,3A,2,"EIA assigned code for the prime mover (i.e. the engine, turbine, water wheel, or similar machine that drives an electric generator)",See Reference Table 2,,,x,x,x,x,x,x,x,x,,x,x,x,x,,,,,,,,,,,,,,,
Unit Code,3A,3,All generators that operate as a unit have the same unit code,Blank if the generator does not operate as a single unit with another generator,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Ownership,3A,4,Identifies the ownership for each generator,See Reference Table 3,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Duct Burners,3A,5,Indicates whether the unit has duct-burners for supplementary firing of the turbine exhaust gas,Yes / No,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Can Bypass Heat Recovery Steam Generator?,3A,6,Can this generator operate while bypassing the heat recovery steam generator?,Yes / No,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
RTO/ISO LMP Node Designation,3A,7a,The designation used to identify the price node in RTO/ISO Locational Marginal Price reports,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,3A,7b,The designation used to report ths specific location of the wholesale sales transactions to FERC for the Electric Quarterly Report,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Nameplate Capacity (MW),"3B, 3C",1a,The highest value on the generator nameplate in megawatts rounded to the nearest tenth,,,,x,x,x,x,x,x,x,x,,x,x,x,x,,,,,,,,,,,,,,,
Nameplate Power Factor,"3B, 3C",1b,The nameplate power factor of the generator,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Summer Capacity (MW),"3B, 3C","3B-2a, 3C-2",The net summer capacity,,,,x,x,x,x,x,x,x,x,,x,x,x,x,,,,,,,,,,,,,,,
Winter Capacity (MW),"3B, 3C","3B-2a, 3C-2",The net winter capacity,,,,x,x,x,x,x,x,x,x,,x,x,x,x,,,,,,,,,,,,,,,
DC Net Capacity (MW),3B,2b,The net capacity of this photovoltaic generator in direct current under standard test conditions (STC) of 1000 W/m^2 solar irradiance and 25 degrees Celsius PV module temperature,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Minimum Load (MW),3B,3,The minimum load at which the generator can operate at continuosuly,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Uprate or Derate Completed During Year,3B,4a,Was an uprate or derate completed on this generator during the reporting year?,Yes / No,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Month Uprate or Derate Completed,3B,4b,The month when the uprate or derate was completed,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Year Uprate or Derate Completed,3B,4b,The year when the uprate or derate was completed,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Status,"3B, 3C","3B-5a, 3C-3",The operating status of the generator,See Reference Table 4,,,x,x,x,x,x,x,x,x,,x,x,x,x,x,,,,,,,,,,,,,,
Effective Month,3C,4,The original effective month on which the generator was scheduled to start operation,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Year,3C,4,The original effective year on which the generator was scheduled to start operation,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Month,3C,5,The most recently updated effective month on which the generator is scheduled to start operation,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,
Current Year,3C,5,The most recently updated effective year on which the generator is scheduled to start operation,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,
Synchronized to Transmission Grid,3B,5b,Indicates whether standby generators (SB status) can be synchronized to the grid,Yes / No,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Month,3B,6,Month the generator began commercial operation,,,,x,,x,x,x,x,x,x,,x,x,,x,,,,,,,,,,,,,,,
Operating Year,3B,6,Year the generator began commercial operation,,,,x,,x,x,x,x,x,x,,x,x,,x,,,,,,,,,,,,,,,
Retirement Month,3B,7,Month the generator retired,,,,,,x,,x,,x,,,x,,,x,,,,,,,,,,,,,,,
Retirement Year,3B,7,Year the generator retired,,,,,,x,,x,,x,,,x,,,x,,,,,,,,,,,,,,,
Planned Retirement Month,3B,8,Planned effective month of the scheduled retirement of the generator,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Planned Retirement Year,3B,8,Planned effective year of the scheduled retirement of the generator,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Associated with Combined Heat and Power System,"3B, 3C","3B-9, 3C-6",Indicates whether the generator is associated with a combined heat and power system,Yes / No,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Previously Canceled,3C,7,Indicates whether the generator was previously reported as indefinitely postponed or canceled,Yes / No,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Topping or Bottoming,3B,10,"If the generator is associated with a combined heat and power system, indicates whether the generator is part of a topping cycle or a bottoming cycle",T = Topping B = Bottoming,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Source 1,"3B, 3C","3B-11, 3C-8",The code representing the most predominant type of energy that fuels the generator,See Reference Table 28,,,x,x,x,,,,,,,,x,x,x,,,,,,,,,,,,,,,
Energy Source 2,"3B, 3C","3B-13, 3C-9",The code representing the second most predominant type of energy that fuels the generator,See Reference Table 28,,,x,x,x,,,,,,,,x,x,x,,,,,,,,,,,,,,,
Energy Source 3,"3B, 3C","3B-14, 3C-10",The code representing the third most predominant type of energy that fuels the generator,See Reference Table 28,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Source 4,"3B, 3C","3B-14, 3C-10",The code representing the fourth most predominant type of energy that fuels the generator,See Reference Table 28,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Source 5,"3B, 3C","3B-14, 3C-10",The code representing the fifth most predominant type of energy that fuels the generator,See Reference Table 28,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Source 6,"3B, 3C","3B-14, 3C-10",The code representing the sixth most predominant type of energy that fuels the generator,See Reference Table 28,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Startup Source 1,3B,12,"The code representing the first, second, third or fourth start-up and flame stabilization energy source used by the combustion unit(s) associated with this generator",See Reference Table 28,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Startup Source 2,3B,12,"The code representing the first, second, third or fourth start-up and flame stabilization energy source used by the combustion unit(s) associated with this generator",See Reference Table 28,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Startup Source 3,3B,12,"The code representing the first, second, third or fourth start-up and flame stabilization energy source used by the combustion unit(s) associated with this generator",See Reference Table 28,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Startup Source 4,3B,12,"The code representing the first, second, third or fourth start-up and flame stabilization energy source used by the combustion unit(s) associated with this generator",See Reference Table 28,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Solid Fuel Gasification System?,"3B, 3C","3B-15, 3C-14",Indicates whether the generator is part of a solid fuel gasification system,Yes / No,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon Capture Technology?,"3B, 3C","3B-18, 3C-15",Indicates whether the generator uses carbon capture technology,Yes / No,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
"Turbines, or Hydrokinetic Buoys","3B, 3C","3B-19, 3C-11","Number of wind turbines, or hydrokinetic buoys",,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,
Time from Cold Shutdown to Full Load,3B,21,The minimum amount of time required to bring the unit to full load from shutdown,10M = 0 - 10 minutes 1H = 10 minutes - 1 hour 12H = 1 hour - 12 hours OVER = More than 12 hours,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Fluidized Bed Technology?,"3B, 3C","3B-23, 3C-12",Indicates whether the generator uses fluidized bed technology,Yes / No,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Pulverized Coal Technology?,"3B, 3C","3B-23, 3C-12",Indicates whether the generator uses pulverized coal technology,Yes / No,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Stoker Technology?,"3B, 3C","3B-23, 3C-12",Indicates whether the generator uses stoker technology,Yes / No,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Other Combustion Technology?,"3B, 3C","3B-23, 3C-12",Indicates whether the generator uses other combustion technologies,Yes / No,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Subcritical Technology?,"3B, 3C","3B-24, 3C-13",Indicates whether the generator uses subcritical technology,Yes / No,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Supercritical Technology?,"3B, 3C","3B-24, 3C-13",Indicates whether the generator uses supercritical technology,Yes / No,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Ultrasupercritical Technology?,"3B, 3C","3B-24, 3C-13",Indicates whether the generator uses ultra-supercritical technology,Yes / No,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Predominant Turbine Manufacturer,3B,25,Predominant manufacturer of turbines at this generator,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,
Predominant Turbine Model Number,3B,26,Predominant model number of turbines at this generator,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,
Design Wind Speed (mph),3B,27a,Design average annual wind speed for turbines at this generator,"If more than one value exists, the one that best represents the turbines",,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,
Wind Quality Class,3B,27b,The wind quality calss for turbines at this generator,See Reference Table 5,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,
Turbine Hub Height (Feet),3B,28,The hub height of turbines at this generator,"If more than one value exists, the one that best represents the turbines",,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,
Lenses / Mirrors?,3B,29,Indicates whether lenses or mirrors are used at this solar generating unit,Yes / No,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Single-Axis Tracking?,3B,29,Indicates whether single-axis tracking technologies are used at this solar generating unit,Yes / No,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Dual-Axis Tracking?,3B,29,Indicates whether dual-axis tracking technologies are used at this solar generating unit,Yes / No,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Fixed Tilt?,3B,29,Indicates whether fixed tilt technologies are used at this solar generating unit,Yes / No,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Bifacial,3B,29,Indicates whether bifacial solar panels are used at this solar generating unit,Yes / No,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
East West Fixed Tilt?,3B,29,Indicates whether east west fixed tilt technologies are used at this solar generating unit,Yes / No,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Parabolic Trough?,3B,29,Indicates whether parabolic trough technologies s are used at this solar generating unit,Yes / No,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Linear Fresnel?,3B,29,Indicates whether linear fresnel technologies are used at this solar generating unit,Yes / No,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Power Tower?,3B,29,Indicates whether power towers are used at this solar generating unit,Yes / No,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Dish Engine?,3B,29,Indicates whether dish engines are used at this solar generating unit,Yes / No,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Other Solar Technology?,3B,29,Indicates whether other solar technologies are used at this solar generating unit,Yes / No,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Azimuth Angle,3B,30a,Indicates the azimuth angle of the unit for fixed tilt or single-axis technologies,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Tilt Angle,3B,30b,Indicates the tilt angle of the unit for fixed tilt or single-axis technologies,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Crystalline Silicon?,3B,31,Indicates whether any solar photovoltaic panels at this generator are made of crystalline silicon,Yes / No,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Thin-Film (CdTe)?,3B,31,Indicates whether any solar photovoltaic panels at this generator are made of thin-film CdTe,Yes / No,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Thin-Film (A-Si)?,3B,31,Indicates whether any solar photovoltaic panels at this generator are made of thin-film A-Si,Yes / No,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Thin-Film (CIGS)?,3B,31,Indicates whether any solar photovoltaic panels at this generator are made of thin-film CIGS,Yes / No,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Thin-Film (Other)?,3B,31,Indicates whether any solar photovoltaic panels at this generator are made of other thin-film material,Yes / No,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Other Materials?,3B,31,Indicates whether any solar photovoltaic panels at this generator are made of other materials,Yes / No,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Net Metering Agreement?,3B,32a,Indicates if the output from this generator is part of a net metering agreement,Yes / No,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Net Metering DC Capacity (MW),3B,32b,The DC capacity (in MW) that is part of a net metering agreement,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Virtual Net Metering Agreement?,3B,33a,Indicates if the output from this generator is part of a virtual net metering agreement,Yes / No,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Virtual Net Metering DC Capacity (MW),3B,33b,The DC capacity (in MW) that is part of a net metering agreement,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Nameplate Energy Capacity (MWh),"3B, 3C","3B-34, 3C-11",The nameplate energy capacity,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
Maximum Charge Rate (MW),"3B, 3C","3B-35, 3C-12",Maximum charge rate,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
Maximum Discharge Rate (MW),"3B, 3C","3B-36, 3C-13",Maximum discharge rate,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
Storage Technology 1,"3B, 3C","3B-37, 3C-14",Indicates the electro-chemical storage technology used for this battery applications,See Reference Table 31,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
Storage Technology 2,"3B, 3C","3B-37, 3C-14",Indicates the electro-chemical storage technology used for this battery applications,See Reference Table 31,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
Storage Technology 3,"3B, 3C","3B-37, 3C-14",Indicates the electro-chemical storage technology used for this battery applications,See Reference Table 31,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
Storage Technology 4,"3B, 3C","3B-37, 3C-14",Indicates the electro-chemical storage technology used for this battery applications,See Reference Table 31,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
Nameplate Reactive Power Rating (MVAR),"3B, 3C","3B-38, 3C-15",The nameplate reactive power rating for the energy storage device,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
Storage Enclosure Type,"3B, 3C","3B-39, 3C-16",The enclosure type that best describes where the generator is located,See Reference Table 32,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
Arbitrage,"3B, 3C","3B-40b, 3C-17b",Indicates if this energy storage device served arbitrage applications during the reporting year,Yes / No/ PR (primary application of this battery storage),,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
Frequency Regulation,"3B, 3C","3B-40b, 3C-17b",Indicates if this energy storage device served frequency regulation applications during the reporting year,Yes / No/ PR (primary application of this battery storage),,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
Load Following,"3B, 3C","3B-40b, 3C-17b",Indicates if this energy storage device served load following applications during the reporting year,Yes / No/ PR (primary application of this battery storage),,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
Ramping / Spinning Reserve,"3B, 3C","3B-40b, 3C-17b",Indicates if this energy storage device served ramping / spinning reserve applications during the reporting year,Yes / No/ PR (primary application of this battery storage),,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
Co-Located Renewable Firming,"3B, 3C","3B-40b, 3C-17b",Indicates if this energy storage device served renewable firming applications during the reporting year,Yes / No/ PR (primary application of this battery storage),,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
Transmission and Distribution Deferral,"3B, 3C","3B-40b, 3C-17b",Indicates if this energy storage device served renewable firming applications during the reporting year,Yes / No/ PR (primary application of this battery storage),,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
System Peak Shaving,"3B, 3C","3B-40b, 3C-17b",Indicates if this energy storage device served system peak shaving applications during the reporting year,Yes / No/ PR (primary application of this battery storage),,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
Load Management,"3B, 3C","3B-40b, 3C-17b",Indicates if this energy storage device served load management applications during the reporting year,Yes / No/ PR (primary application of this battery storage),,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
Voltage or Reactive Power Support,"3B, 3C","3B-40b, 3C-17b",Indicates if this energy storage device served voltage or reactive power support applications during the reporting year,Yes / No/ PR (primary application of this battery storage),,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
Backup Power,"3B, 3C","3B-40b, 3C-17b",Indicates if this energy storage device served backup power applications during the reporting year,Yes / No/ PR (primary application of this battery storage),,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
Excess Wind and Solar Generation,"3B, 3C","3B-40b, 3C-17b",Indicates if this energy storage device was used to store excess wind/solar generation during the reporting year,Yes / No/ PR (primary application of this battery storage),,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
AC Coupled,"3B, 3C","3B-42, 3C-19",Indicates if this energy storage device is AC-coupled (means the energy storage device and the PV system are not installed on the same side of an inverter),Yes / No,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
DC Coupled,"3B, 3C","3B-42, 3C-19",Indicates if this energy storage device is DC-coupled (means the energy storage device and the PV system are on the same side of an inverter and the battery can still charge from the grid),Yes / No,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
DC Tightly Coupled,"3B, 3C","3B-42, 3C-19",Indicates if this energy storage device is DC tightly coupled (means the energy storage device and the PV system are on the same side of an inverter and the battery cannot charge from the grid),Yes / No,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
Independent,"3B, 3C","3B-42, 3C-19",Indicates if this energy storage device is Independent (not coupled with another generators),Yes / No,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
Direct Support of Another Unit,"3B, 3C","3B-41a, 3C-18a",Indicates if this energy storage device is intended for dedicated generator firming or storing excess generation of other units,Yes / No,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,
