station_id,state,state_name,station_name,place_name,latitude,longitude,coordinate_source,geometry_precision,monitoring_year_start,monitoring_year_end,years_with_data_count,approved_sample_count,approved_dose_reading_count,dose_equivalent_rate_avg_nsvh,dose_equivalent_rate_p95_nsvh,dose_equivalent_rate_max_nsvh,gamma_count_rate_total_avg_cpm,background_radiation_band,dominant_radiation_profile,source_dataset
radnet-ut-st-george,UT,Utah,St. George,St. George,37.077006,-113.576534,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2012,2025,14,83982,69,0,0,0,5874.89,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-va-harrisonburg,VA,Virginia,Harrisonburg,Harrisonburg,38.436255,-78.873303,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,130056,37703,54.21,61,150,4809.04,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-va-richmond,VA,Virginia,Richmond,Richmond,37.531399,-77.476009,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,138712,53468,61.07,103,170,4128.83,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-va-virginia_beach,VA,Virginia,Virginia Beach,Virginia Beach,36.779525,-76.029142,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,140766,12297,53.74,58,108,5074.37,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-vt-burlington,VT,Vermont,Burlington,Burlington,44.491927,-73.238882,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,16,101660,60681,43.4,51,125,3418.88,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-wa-ellensburg,WA,Washington,Ellensburg,Ellensburg,47.000124,-120.54954,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2016,2025,10,71736,6237,46.15,50,67,3264.06,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-wa-olympia,WA,Washington,Olympia,Olympia,47.040604,-122.895,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,142731,43651,43.76,89,178,2631.68,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-wa-richland,WA,Washington,Richland,Richland,46.28698,-119.294045,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,113036,62407,76.49,106,176,5116.22,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-wa-seattle,WA,Washington,Seattle,Seattle,47.619335,-122.351538,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,140718,8912,27.1,30,40,1727.34,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-wa-spokane,WA,Washington,Spokane,Spokane,47.666935,-117.433322,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,138664,52599,85.37,95,221,7234.22,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-wi-la_crosse,WI,Wisconsin,La Crosse,La Crosse,43.824685,-91.224616,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2013,2025,13,80360,49253,60.04,68,182,4362.58,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-wi-madison,WI,Wisconsin,Madison,Madison,43.087815,-89.429856,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,131269,47089,59.29,104,208,3946.11,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-wi-milwaukee,WI,Wisconsin,Milwaukee,Milwaukee,43.063348,-87.966695,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2006,2025,19,137167,43573,61.98,127,276,3131.78,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-wi-shawano,WI,Wisconsin,Shawano,Shawano,44.777894,-88.586019,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2012,2025,14,103954,30111,53.95,64,138,3712.22,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-wv-charleston,WV,West Virginia,Charleston,Charleston,38.348692,-81.632324,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,132386,10688,50.16,56,122,4751.89,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-wy-casper,WY,Wyoming,Casper,Casper,42.84212,-106.321282,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2013,2025,13,86343,40815,100.17,110,239,5789.12,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
