state,state_name,place_name,census_name,geoid,population_2024,latitude,longitude,coordinate_source,geometry_precision,matched_town_hall_rows_with_coordinates,population_per_town_hall,land_area_sqmi,water_area_sqmi,match_status,source_population_dataset,source_coordinate_dataset,dominant_people_profile,town_hall_name,town_hall_address,town_hall_locality,town_hall_latitude,town_hall_longitude
TX,Texas,Point,Point city,4858532,817,32.929553,-95.869369,town_hall,point,1,817.00,2.756,0.028,town_hall_coordinate_match,Census Population Estimates 2024,US_Town_Halls,Town hall anchored municipality,City of Point Police Police Department,320 N Locust St,"Point, TX 75472",32.929553,-95.869369
TX,Texas,Point Blank,Point Blank city,4858556,691,30.748219,-95.213723,census_place_centroid,point,0,,2.023,0.06,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Point Comfort,Point Comfort city,4858568,562,28.677210,-96.555446,town_hall,point,3,187.33,1.315,0.002,town_hall_coordinate_match,Census Population Estimates 2024,US_Town_Halls,Town hall anchored municipality,"City of Point Comfort, Texas-City Hall",102 Jones St,"Point Comfort, TX 77978",28.677210,-96.555446
TX,Texas,Point Venture,Point Venture village,4858586,1243,30.384099,-97.998172,census_place_centroid,point,0,,0.856,0.888,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Ponder,Ponder town,4858664,2875,33.171716,-97.296467,census_place_centroid,point,0,,3.371,0.003,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Port Aransas,Port Aransas city,4858808,3616,27.820898,-97.089193,census_place_centroid,point,0,,8.969,5.063,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Port Arthur,Port Arthur city,4858820,55799,29.900008,-93.89442,census_place_centroid,point,0,,75.551,47.193,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Port Isabel,Port Isabel city,4858892,5210,26.063045,-97.24669,census_place_centroid,point,0,,6.787,7.009,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Port Lavaca,Port Lavaca city,4858916,11299,28.617967,-96.628288,census_place_centroid,point,0,,10.151,3.956,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Port Neches,Port Neches city,4858940,13709,29.960768,-93.96179,census_place_centroid,point,0,,8.594,0.515,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Portland,Portland city,4858904,20725,27.894541,-97.314512,town_hall,point,7,2960.71,12.127,2.951,town_hall_coordinate_match,Census Population Estimates 2024,US_Town_Halls,Town hall anchored municipality,City of Portland,1900 Billy G Webb,"Portland, TX 78374",27.894541,-97.314512
TX,Texas,Post,Post city,4859012,3594,33.190623,-101.378153,town_hall,point,2,1797.00,3.745,0.029,town_hall_coordinate_match,Census Population Estimates 2024,US_Town_Halls,Town hall anchored municipality,Post City Judge,106 S Broadway St,"Post, TX 79356",33.190623,-101.378153
TX,Texas,Post Oak Bend,Post Oak Bend city,4859065,943,32.633112,-96.320311,census_place_centroid,point,0,,2.074,0.003,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Poteet,Poteet city,4859084,3005,29.037277,-98.572758,census_place_centroid,point,0,,1.733,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Poth,Poth town,4859096,1992,29.072069,-98.080562,census_place_centroid,point,0,,3.166,0.024,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
